Country,Country Code,Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and Communications,Health and Wellness,Ecosystem Sustainability,Personal Rights,Personal Freedom and Choice,Tolerance and Inclusion,Access to Advanced Education,Undernourishment,Depth of food deficit,Maternal mortality rate,Child mortality rate,Deaths from infectious diseases,Access to piped water,Rural access to improved water source,Access to improved sanitation facilities,Availability of affordable housing,Access to electricity,Quality of electricity supply,Household air pollution attributable deaths,Homicide rate,Level of violent crime,Perceived criminality,Political terror,Traffic deaths,Adult literacy rate,Primary school enrollment,Lower secondary school enrollment,Upper secondary school enrollment,Gender parity in secondary enrollment,Mobile telephone subscriptions,Internet users,Press Freedom Index,Life expectancy,Premature deaths from non-communicable diseases,Obesity rate,Outdoor air pollution attributable deaths,Suicide rate,Greenhouse gas emissions,Water withdrawals as a percentage of resources,Biodiversity and habitat,Political rights,Freedom of speech,Freedom of assembly/association,Freedom of movement,Private property rights,Freedom over life choices,Freedom of religion,Early marriage,Satisfied demand for contraception,Corruption,Tolerance for immigrants,Tolerance for homosexuals,Discrimination and violence against minorities,Religious tolerance,Community safety net,Years of tertiary schooling,Women's average years in school,Inequality in the attainment of education,Number of globally ranked universities,Depth of food deficit - capped,Household air pollution attributable deaths - bucketed,Adult literacy rate - capped,Lower secondary school enrollment - capped,Upper secondary school enrollment - capped,Gender parity in secondary enrollment - capped,Mobile telephone subscriptions - capped,Greenhouse gas emissions - bucketed,Number of globally ranked universities - bucketed
Moldova,MDA,63.68,77.65,64.85,48.54,97.65,80.36,66.49,66.09,91.94,76.26,47.27,43.92,48.16,53.34,41.65,51.01,5,8,21,15.4,44.5115,55.1280297,93.7082747,86.7254006,0.293559372,98.6,4.408007395,38.5211,3,2,3,2.5,13.9,99.3626,87.92875671,87.50029755,89.59780884,1.017130017,106.0114063,48.8,25.35,68.69341463,26.48558,20.4,90.137,19.0401,827.5940662,1.462672144,7.51,3,1,0,3,40,0.561059815,2,0.11,62.4,35,0.469719387,0.079529706,6.2,2,0.775679888,0.57,12.8,0.061,0,8,5,99,87.500298,89.597809,1,100,2,0
Mongolia,MNG,61.52,58.36,64.49,61.71,82.99,46.66,34.42,69.38,97.66,65.95,58.42,35.92,73.99,64.48,55.93,52.43,22.4,173,68,31.8,82.75971,23.5537911,61.235911,56.1829068,0.216564025,86.2,3.573076341,222.319,3,3,2,1.5,17.8,98.38402,97.33386993,93.47406769,121.6297989,1.031659961,124.1841263,17.7,30.3,67.33943902,31.98541,16.4,22.1528,12.1725,1415.805849,4.046933749,73.25,1,1,2,4,30,0.678908161,3,0.04,71.7,39,0.31476615,0.082085935,4,4,0.941254654,0.92,10.3,0.05164,0,173,1,98.38402,93.474068,100,1,100,1,0
Montenegro,MNE,69.01,81.89,72.09,53.04,99.15,92.02,67.58,68.8,96.41,74.7,56.86,60.4,61.36,47.52,51.44,51.84,5,8,7,5.3,18.69559,90.5888282,95.3464086,90.0341501,0.360425879,100,4.273942708,47.0596,2,3,3,1.5,15,98.73229,98.36152649,92.76361084,89.16018677,1.006510019,159.9499825,56.8,34.78,74.64987805,22.15446,21.8,61.9381,18.577,403.6778993,0.308810807,51.6,3,1,1,4,40,0.487685444,3,,39,42,0.712873677,0.199917558,7,2,0.86293036,,11.9,0.025,0,8,5,98.73229,92.763611,89.160187,1,100,2,0
Morocco,MAR,59.56,76.64,64.14,37.89,92.65,64.3,80.44,69.17,77.98,72.54,68.72,37.3,41.29,53.75,38.68,17.85,5,34,120,30.4,131.50182,61.0020902,63.597046,75.3900624,0.437354736,98.9,5.442781381,6.42382,1,3,2,3,18,68.49044,97.51302338,83.99658203,54.3805809,0.856490016,128.5252097,56,39.72,70.64312195,22.82882,17.3,24.8785,3.56064,405.2100157,4.23604685,31.2,5,1,0,3,40,0.509809057,1,0.11,74.2,39,0.521483442,0.072069805,6.8,3,0.594341741,0.31,4.5,0.458,1,34,6,68.49044,83.996582,54.380581,0.85649002,100,2,1
Mozambique,MOZ,46.02,43.13,53.49,41.43,57.23,18.93,38.66,57.7,57.11,45.49,63.32,48.05,45.36,39.21,62.14,19.02,27.9,204,480,87.2,998.06208,8.3633415,34.9936745,21.0112725,0.463643458,15,3.139873987,78.9259,2,2.5,4,3,18.5,58.77289,86.24407196,34.21408081,12.38537979,0.889360011,48.00421557,5.4,29.26,49.83626829,17.30568,5.4,1.30804,20.8876,1166.813471,0.824086669,63.17,4,1,1,2,30,0.638700788,4,0.45,34,31,0.77195767,0.384322121,5.4,3,0.816074749,0.02,2.8,0.182,0,204,4,58.77289,34.214081,12.38538,0.88936001,48.004216,1,0
Myanmar,MMR,46.12,58.87,49.19,30.28,80.09,58.38,41.07,55.92,78.02,27.69,62.37,28.7,5.75,56.11,30.19,29.08,16.7,122,200,50.5,316.44449,7.9391133,81.1075814,77.3794953,0.552121331,48.8,2.843365903,143.52,4,2,3,4,15,93.09415,,57.61524963,35.45943832,1.050289989,12.82858801,1.2,41.43,64.93246341,24.34979,4.1,42.0245,12.9758,2736.890287,0.303092379,28.62,6,0,0,0,10,0.730924228,1,0.07,70.4,21,0.368751483,0.233391557,9.3,1,0.75672548,0.25,6.7,0.194,0,122,3,93.09415,57.61525,35.459438,1,12.828588,0,0
Namibia,NAM,62.71,59.73,71.93,56.47,68.2,57.8,57.41,55.51,79.31,71.93,72.38,64.11,70.56,72.04,56.32,26.97,37.2,278,130,49.8,356.60063,47.3800264,87.3944748,32.1729774,0.519224676,43.7,5.41346987,86.7959,4,3,3,2,25,81.94129,87.6756134,82.51480103,36.22357178,1.157379985,110.2143649,13.9,12.5,63.88114634,20.04359,10.9,1.26495,5.90173,798.3423146,1.882401311,94.39,2,1,2,4,30,0.764786984,4,0.05,75.5,49,0.557953614,0.180048715,5.6,4,0.827623564,0.07,9.2,0.278,0,278,4,81.94129,82.514801,36.223572,1,100,2,0
Nepal,NPL,55.33,62.54,62.71,40.74,84.59,52.15,46.47,66.94,81.82,52.82,62.74,53.45,50.96,49.74,52.87,9.39,13,87,190,39.7,251.77743,21.3560766,87.6337337,36.7423108,0.735177311,76.3,1.833753269,110.129,2,3,2,3,16,63.94606,98.47753906,88.58643341,49.04618073,1.052360058,71.46285,13.3,36.16,67.98270732,21.62199,1.5,31.237,24.6345,680.3195541,2.402084479,61.79,3,1,0,4,30,0.658928551,3,0.29,61.8,29,0.717885691,0.682263869,9,2,0.782911066,0.11,3.1,0.44,0,87,3,63.94606,88.586433,49.046181,1,71.46285,2,0
Netherlands,NLD,86.5,94.8,83.81,80.88,99.21,100,91.19,88.79,98.94,95.83,75.6,64.89,87.91,89,74.46,72.14,5,8,6,4,25.54374,100,100,100,0.667008453,100,6.624013953,0,1,2,2,1,3.9,99,98.44991302,136.5811462,123.4362183,0.982580006,113.7299037,93.9564,6.46,81.10487805,12.21161,16.2,39.5508,8.4694,285.6726311,1.728848212,94.69,1,1,2,4,90,0.907683393,4,0,83.7,83,0.800571838,0.872411121,4.1,2,0.904873583,0.96,12.6,0.040999998,13,8,6,99,100,100,0.98258001,100,2,4
New Zealand,NZL,87.08,92.87,82.77,85.61,99.05,100,86.14,86.3,99.46,92.01,77.75,61.86,98.84,88.82,82.98,71.79,5,8,8,6.3,18.00226,100,100,,0.523387927,100,6.199797313,0,1,2,2,1,9.1,99,98.4125824,105.0864029,137.7871857,1.047600031,105.7756947,82.78,8.55,81.15609756,10.7352,27,6.74491,10.568,510.4063103,1.351785653,76.05,1,2,2,4,95,0.928266504,4,0.08,83.9,91,0.865512434,0.740943041,3.8,4,0.940939147,1.1,13.6,,8,8,6,99,100,100,1,100,2,3
Nicaragua,NIC,62.2,65.87,72.17,48.58,87.09,59.53,56.28,60.57,82.74,66.38,72.16,67.4,45.85,59.21,61.82,27.44,16.8,123,100,23.5,75.15044,63.538629,67.8046973,52.1384381,0.473902953,73.7,3.922456323,64.6568,4,2,3,2.5,18.8,82.81734,91.82131195,79.05917358,53.76528931,1.099159956,111.9801766,15.5,27.7,74.46539024,19.41887,24.2,3.16442,7.60819,730.8403499,1.010015863,91.67,4,1,1,3,10,0.805010794,3,0.3,86.8,28,0.602742234,0.482803074,6.2,4,0.832613003,0.44,7.6,0.333,0,123,4,82.81734,79.059174,53.765289,1,100,2,0
Niger,NER,40.56,40.55,48.99,32.15,66.91,18.3,25.1,51.87,29.76,43.78,67.53,54.87,40.72,33.76,47.05,7.09,11.3,67,630,104.2,739.98916,7.9466379,42.1029791,9.0451081,0.375440487,9.3,,103.066,4,4,3,2,23.7,19.12979,62.80258942,21.50786972,6.763160229,0.668190002,39.2922097,1.7,23.59,57.96617073,19.60741,2.5,42.7502,2.3714,1449.061537,0.112430873,77.21,3,1,0,2,30,0.659423673,4,0.61,28.7,35,0.721210691,0.046259317,7.5,3,0.743409609,0.04,1.3,0.395,0,67,3,19.12979,21.50787,6.7631602,0.66819,39.29221,1,0
Nigeria,NGA,43.31,39.04,61.51,29.37,67.92,26.38,37.82,24.03,56.09,60.84,67.14,61.98,32.16,38.58,29.32,17.41,6.4,38,560,117.4,866.19223,3.6728196,49.0911959,27.7832837,0.415294295,48,1.575734043,58.2471,4,5,5,4,33.7,59.56797,63.90198898,46.3131218,41.09981155,0.887839973,73.29196161,38,34.24,52.10902439,19.79609,7.1,19.3664,2.97276,377.1756641,0.293372329,57.54,4,1,0,1,30,0.631699494,2,0.29,27.4,27,0.472078236,0.052990464,9.8,1,0.78298737,,6.6,0.45243,0,38,4,59.56797,46.313122,41.099812,0.88783997,73.291962,2,0
Norway,NOR,88.36,94.8,88.46,81.82,99.36,100,86.99,92.85,99.12,96.11,80.6,78.03,87.91,91.38,79.3,68.69,5,8,4,2.8,25.21199,100,100,100,0.445040554,100,6.721958765,0,1,1,2,1,4.3,100,99.43698883,98.93463898,122.9838181,0.984570026,116.4772399,95.0534,6.52,81.45121951,10.66333,19.8,3.83661,10.3944,163.0882951,0.400524984,71.68,1,1,2,4,90,0.954313606,4,0,84.6,86,0.81584992,0.802185888,3.7,3,0.937648183,0.89,14.9,0.024,4,8,6,99,98.934639,100,0.98457003,100,3,2
Pakistan,PAK,45.66,56.37,50.71,29.9,74.03,60.31,46.02,45.12,52.56,45.71,64.99,39.57,35.59,45.09,18.66,20.29,21.7,169,170,85.5,296.02472,36.0033551,88.976998,47.5700169,0.493972226,91.37,2.065620313,100.222,3,4,3,5,17.4,57.93707,72.46411133,49.38739014,27.13643074,0.735480011,70.13037598,10.9,51.46,66.43587805,20.5104,5.9,43.6914,12.1636,410.6069076,4.31002513,41.43,4,0,1,2,30,0.525510807,1,0.11,46.2,29,0.420027424,0.019198831,10,1,0.550458309,0.24,4.3,0.452000001,5,169,3,57.93707,49.38739,27.136431,0.73548001,70.130376,2,2
Panama,PAN,71.79,75.91,77.55,61.9,91.65,82.93,71.52,57.54,90.93,72.77,77.65,68.88,70.56,64.91,63.54,48.58,10.6,73,85,17.9,86.14526,92.0668409,86.5580186,73.15301,0.528685133,88.22938,4.927636749,21.3576,5,3,3,2,14.1,95.04833,91.22979736,89.07660675,78.82849884,1.05419004,162.9742998,42.9,30.2,77.36809756,12.4512,25.8,3.33329,6.82598,267.8567012,0.422002909,86.96,2,1,2,4,30,0.886059671,4,0.22,70,37,0.561741787,0.449326412,5.3,4,0.868848396,0.81,11.9,0.163,0,73,5,95.04833,89.076607,78.828499,1,100,2,0
Paraguay,PRY,67.1,71.11,71.11,59.09,90.77,79.56,56.88,57.23,83.25,70.52,74.08,56.57,67.12,67.61,65.3,36.32,11,75,110,21.9,77.28754,77.7247557,83.3562015,79.7447603,0.399849656,97.43,3.222821512,66.3933,4,3,3,2,21.4,95.56244,81.93234253,79.78067017,59.18764877,1.051830053,103.6893284,36.9,31.81,72.19373171,18.5038,19.2,1.73752,6.31316,841.0343838,0.011150345,31.2,3,1,2,4,30,0.893857666,4,0.13,81.2,24,0.767930676,0.438624198,6.2,3,0.934145258,0.34,9.4,0.172,0,75,4,95.56244,79.78067,59.187649,1,100,2,0
Peru,PER,67.23,69.89,73.89,57.92,92.47,73.11,67.77,46.2,91.97,70.53,81.08,51.98,64.8,60.43,57.88,48.57,8.7,58,89,16.7,121.27342,81.9076858,71.6352499,73.0553625,0.401948507,85.1,4.853575124,27.5755,4,4,4,3,15.9,94.47953,93.73255157,100.4293289,73.78434753,0.964070022,98.08298127,39.2,31.7,74.51553659,11.2173,16.5,6.85689,3.08793,252.4521352,3.20160863,70.36,2,1,1,4,40,0.700056875,4,0.16,63.7,38,0.65239893,0.373249852,7.3,4,0.815180269,0.74,10.8,0.25605,3,58,5,94.47953,100,73.784348,0.96407002,98.082981,2,2
Philippines,PHL,65.46,68.23,68.86,59.3,87.77,71.8,61.87,51.49,89.44,65.87,70.21,49.93,62,67.78,55.5,51.92,11.5,78,120,29.9,226.42327,42.7993062,91.2044958,74.3229191,0.569883237,83.3,4.20197068,88.3838,2,4,4,4,9.1,96.2892,88.21835327,87.42762756,75.8348465,1.082669973,104.5023215,37,43.69,68.55373171,27.85411,6.4,8.79627,4.18076,275.1049258,3.333262336,64.67,3,1,2,3,30,0.900011189,4,0.05,52.4,38,0.616644816,0.629793842,8.3,3,0.810605941,0.63,10.6,0.135134953,4,78,4,96.2892,87.427628,75.834846,1,100,2,2
Poland,POL,77.98,86.67,77.19,70.07,99.18,93.67,70.96,82.86,97.67,85.67,59.37,66.06,80.95,75.41,59.23,64.67,5,8,3,5.2,22.57865,97.9514392,,89.4800003,0.246239641,100,5.480117567,36.0305,1,2,2,1.5,11.8,99.79141,96.64836121,98.27024841,97.12854004,0.98575002,150.0184409,62.8492,11.03,76.79756098,19.95129,23.2,64.8291,16.0703,446.7751223,1.307267036,91.76,1,1,2,4,60,0.854563256,4,0.02,60.1,61,0.511232118,0.246805366,4.1,3,0.912059272,0.7,13.1,0.055999999,6,8,5,99,98.270248,97.12854,0.98575002,100,2,3
Portugal,PRT,81.91,92.81,76.17,76.76,99.03,99.91,85.2,87.11,98.76,82.83,73.25,49.83,93.04,79.92,80.11,53.98,5,8,8,3.8,39.89616,99.8370585,99.9038077,100,0.436389197,100,6.385711577,0,1,1,2,1.5,11.8,95.67814,98.62297821,119.4414673,106.3582916,1.004879951,113.035602,62.0956,17.73,80.37317073,11.89582,21.6,34.6418,11.7508,271.4483411,3.338300161,64.36,1,2,2,4,70,0.839435189,4,0.05,84,63,0.853780436,0.570388329,2.3,4,0.856457109,0.33,10.4,0.057000002,6,8,6,95.67814,100,100,1,100,2,3
Romania,ROU,68.37,77.35,71.53,56.24,97.86,69.05,66.55,75.94,92.74,77.25,55.09,61.03,64.8,62.64,40.9,56.6,5,8,33,12,38.53032,61.6945796,75.6105923,72.0931682,0.246201075,100,4.560024617,42.7556,1,2,3,2,11.1,98.76871,85.75556946,92.26442719,97.6348114,0.983990014,105.5829217,49.7645,23.48,74.56341463,22.55017,17.7,100.853,10.3899,391.8406332,0.835612236,63.51,2,1,1,4,40,0.598273595,3,0.03,67.9,43,0.419033879,0.189119954,6.6,2,0.761931988,0.4,13.1,0.050312401,4,8,5,98.76871,92.264427,97.634811,0.98399001,100,2,2
Russia,RUS,63.64,74.1,67.63,49.19,97.76,81.92,68.7,48.03,96.53,72.79,44.58,56.63,18.32,55.12,35.6,87.73,5,8,24,10.1,73.77642,82.0687594,92.1899532,70.4577834,0.293280752,100,4.800619497,11.4056,3,3,4,4,18.6,99.72078,96.15992737,93.85684967,98.29930115,0.976960003,152.8353524,61.4,42.78,70.46097561,29.86044,24.9,66.8758,27.4526,738.0672848,1.234853329,53.39,6,0,0,2,20,0.652987267,1,0.08,70.8,27,0.413732204,0.086041843,8.5,1,0.89971117,1.76,13.8,0.021,21,8,5,99,93.85685,98.299301,0.97696,100,2,4
Rwanda,RWA,51.6,52.52,60.63,41.67,66.7,47.08,45.58,50.7,69.83,38.61,71.07,63.01,33.84,69.46,45.64,17.72,33.8,248,320,52,401.70498,4.4584122,68.3036378,63.7673931,0.649520592,10.8,3.970184,95.356,4,3,4,2.5,19.9,70.51592,98.70905304,36.66764832,25.34909058,1.065289974,56.80079399,8.7,56.57,63.49285366,19.10225,4.3,12.2815,10.2464,340.9009638,0,56.32,6,0,1,3,30,0.894025244,2,0.04,62.4,49,0.60239695,0.062157306,8.5,4,0.748304206,0.04,4.7,0.294,0,248,4,70.51592,36.667648,25.349091,1,56.800794,2,0
Saudi Arabia,SAU,64.27,82.87,70.46,39.49,97.32,89.37,75.44,69.34,96,66.45,69.64,49.75,9.28,55.81,45.64,47.24,5,10,16,15.5,71.25039,66.6998198,97.0341084,100,0.350444438,94.13527,6.240853497,10.7476,1,1,3,3,24.8,94.65114,93.4481,118.0144577,110.3615723,0.975510001,176.4978024,60.5,58.3,75.49690244,16.6591,35.2,31.5257,0.474735,389.9092807,4.992350923,93.7,7,0,0,0,40,0.591473532,1,0.04,50.1,49,0.678886519,,7.7,2,0.842942538,0.46,9.2,,8,10,5,94.65114,100,100,0.97551,100,2,3
Senegal,SEN,56.46,60.35,65.97,43.07,75.01,51.05,53.26,62.09,54.88,65.84,73.73,69.42,59.67,51.2,53.5,7.89,16.7,108,320,55.3,587.66146,45.9133277,60.3036281,51.8722797,0.451837724,56.5,2.995273015,38.0932,3,3,2,3,19.5,57.67258,73.346138,39.85911942,16.7326107,0.911899984,92.92798275,20.9,26.68,63.20217073,16.71734,8,15.9023,3.57001,738.447343,0.21481397,85.36,2,1,1,3,40,0.689272454,4,0.25,33.8,43,0.75726802,0.014321143,6.6,3,0.855522112,0.1,2.5,0.446,0,108,5,57.67258,39.859119,16.732611,0.91189998,92.927983,2,0
Serbia,SRB,69.79,83.38,74.74,51.25,98.88,94.73,64.75,75.15,94.48,77.1,55.98,71.4,55.71,51.71,47.64,49.92,5,8,16,6.6,19.35223,86.011907,98.853024,97.3450658,0.397963016,100,4.747637274,54.2152,1,2.5,3,2,8.3,98.10805,91.37010193,97.84950256,86.30744171,1.019860029,119.3917104,51.5,25.05,75.23414634,24.53158,23,71.7906,13.2568,736.9596966,0.583519,99.78,2,1,1,2,45,0.496057961,3,0.05,39.2,41,0.661128808,0.210293793,8,3,0.753025587,0.55,11.5,0.107,1,8,4,98.10805,97.849503,86.307442,1,100,2,1
Slovakia,SVK,78.45,92.19,78.8,64.35,98.77,98.22,85.63,86.16,96.67,89.57,59.7,69.23,78.63,65.92,59.49,53.34,5,8,7,7.2,35.34984,93.8853399,100,99.740991,0.509423222,100,6.15467429,4.6606,1,2,2,1,9.4,99.6,,98.0358963,89.72345734,1.00553,113.9111556,77.8826,11.39,76.1097561,19.40348,24.6,69.7206,12.7283,310.3494027,0.197465692,84.33,1,1,2,4,50,0.577730945,3,0.01,73.5,50,0.482575208,0.31726329,5.6,4,0.902194015,0.53,13.3,0.015,0,8,6,99,98.035896,89.723457,1,100,2,0
Slovenia,SVN,81.62,92.88,80.87,71.12,99.42,99.61,81.01,91.47,97.91,84.64,66.92,73.99,80.95,79.88,64.49,59.15,5,8,7,2.9,15.44185,99.5993165,99.4000472,100,0.28337036,100,6.183040358,5.52756,1,1,2,1,7.2,99.71596,97.66706848,95.13220978,99.28585815,0.992370009,110.2112117,72.6756,20.38,80.12439024,12.63961,27,43.0117,18.0913,329.6746223,0.027711066,100,1,1,2,4,60,0.882541758,4,0.01,77.7,58,0.5649806,0.420920822,3.6,3,0.896735035,0.75,12.9,0.027000001,1,8,6,99,95.13221,99.285858,0.99237001,100,2,1
South Africa,ZAF,65.64,64.59,69.94,62.38,85.94,80.55,62.92,28.96,93.21,77.14,58.34,51.09,75.2,71.65,57.41,45.27,5,16,140,43.9,611.58799,79.1894215,88.2514478,74.4340426,0.488259538,82.7,3.578427502,22.1681,5,5,4,3.5,31.9,94.26664,84.99597168,111.0468292,96.00106812,1.031780005,147.4645166,48.9,23.19,56.09831707,26.84861,33.5,6.38497,3.52621,747.5443919,3.040457185,63.96,2,1,2,4,50,0.714169001,4,0.03,82.8,44,0.525834079,0.485166833,5.8,3,0.839424472,0.13,10.4,0.181385999,7,16,5,94.26664,100,96.001068,1,100,2,3
Spain,ESP,81.17,91.09,76.79,75.62,99.3,99.8,84.44,80.83,99.69,84.24,77.17,46.08,83.27,74.67,76.34,68.22,5,8,4,4.2,19.11593,99.2832418,100,99.9890556,0.414811058,100,6.321290274,0,1,2,3,1.5,5.4,98.09797,99.70918274,123.0068665,145.8177338,1.008730054,106.9052178,71.5719,20.63,82.37804878,10.80751,24.1,31.5143,5.79678,237.0415185,3.725614481,56.56,1,1,2,4,70,0.733195177,3,0.01,80,60,0.859883975,0.869892761,6.1,3,0.946980624,0.85,11.7,0.053999999,19,8,6,98.09797,100,100,1,100,2,4
Sri Lanka,LKA,60.1,71.12,67.03,42.14,83.53,74.63,63.43,62.9,96.17,54.22,65.55,52.19,25.23,64.03,33.27,46.02,24.6,216,29,9.6,75.49694,29.5141425,92.8865785,92.2542548,0.488948982,85.1,4.794956253,81.4888,2,2,3,4,13.7,92.63448,93.79380798,99.11872864,99.56723022,1.06140995,95.49632054,21.9,59.13,74.06804878,17.63822,5,16.8017,32.7003,251.95627,3.007874921,67.7,5,0,0,2,35,0.809006557,2,0.09,70.3,38,0.551076123,0.050403095,9.3,1,0.803743435,0.47,11,0.146,1,216,4,92.63448,99.118729,99.56723,1,95.496321,2,1
Swaziland,SWZ,50.94,53.34,57.02,42.45,63.22,54.42,43.75,51.96,77.55,51.72,59.78,39.02,19.52,65.28,57.51,27.49,26.1,186,310,80,884.32522,37.2218183,68.8598725,57.4593517,0.550040813,35.2,4.07037995,111.641,4,3,3,3,23.4,87.47019,84.73732758,68.55110168,47.24372101,0.972029984,71.46778668,24.7,46.76,48.85063415,21.3761,23.4,2.4345,9.58663,381.1432843,3.105143962,17.69,7,0,0,2,40,0.606764717,4,0.07,76.5,43,0.547975676,0.179796576,3.6,3,0.837149746,0.04,9.5,0.26805,0,186,3,87.47019,68.551102,47.243721,0.97202998,71.467787,2,0
Sweden,SWE,88.06,94.83,86.43,82.93,99.42,100,86.42,93.48,98.89,95.07,80.22,71.54,87.91,88.98,80.43,74.38,5,8,4,3,19.29732,100,100,100,0.511410138,100,6.312361078,0,1,1,2,1,3,99,99.48712921,99.5630722,97.43395233,0.984350026,124.3952501,94.7836,8.98,81.70487805,9.90926,16.6,11.2265,12.028,151.2403961,1.304243204,62.38,1,1,2,4,90,0.93844629,4,0.01,76.7,87,0.79089562,0.776753409,1,2,0.922662241,0.94,13.9,0.036000142,11,8,6,99,99.563072,97.433952,0.98435003,100,3,4
Switzerland,CHE,87.97,95.66,86.5,81.75,99.33,99.93,90.52,92.85,94.9,92.31,76.6,82.21,87.91,91.1,77.34,70.67,5,8,6,4.2,14.46936,99.7375272,100,100,0.599087284,100,6.782699669,0,1,1,2,1,4.3,99,93.37541962,110.0554123,86.73999023,0.968890011,133.79826,86.7,10.47,82.69756098,9.06965,14.9,34.9533,14.8158,123.0561363,1.064087164,100,1,1,2,4,90,0.945679491,4,0.01,86.1,86,0.746464455,0.730655451,3.5,3,0.957495186,1.1,13,0.058000001,10,8,6,99,100,86.73999,0.96889001,100,3,3
Tajikistan,TJK,56.49,62.58,63.09,43.79,75.1,65.61,53.02,56.59,90.57,60.94,62.1,38.77,41.29,50.5,40.55,42.8,32.3,245,44,47.7,147.74074,43.1197816,64.0095854,94.3706884,0.60076179,100,2.639175177,111.84,2,4,3,3,18.1,99.77334,98.38231659,94.80129242,67.48597717,0.895089984,91.8281242,16,34.86,67.25717073,28.76056,9.9,39.9749,6.24135,630.8224876,3.5280262,24.28,6,1,1,3,20,0.728800391,1,0.13,53.7,23,0.402194002,0.011198636,7,3,0.78149303,0.29,12.2,0.122,0,245,3,99,94.801292,67.485977,0.89508998,91.828124,2,0
Tanzania,TZA,47.14,41.39,58.23,41.79,62.48,20.58,31.22,51.28,65.37,48.6,69.9,49.04,49.27,50.71,42.99,24.18,34.6,258,410,51.8,584.19211,9.2516441,44.020736,12.2299791,0.267896747,14.8,2.456692341,59.0402,5,3,3,2.5,22.7,70.60426,97.59406281,46.34492111,10.18274975,0.875029981,55.71793149,4.4,27.3,60.84643902,16.10871,5.4,1.35125,18.0079,1017.170771,1.498342011,79.12,3,0,1,4,30,0.643774216,3,0.2,51.3,31,0.49960896,0.050071137,5.9,2,0.786490859,0.03,6.4,0.295,1,258,4,70.60426,46.344921,10.18275,0.87502998,55.717931,1,1
Thailand,THA,66.34,75.77,72.35,50.9,94.74,81.22,82.23,44.88,94.23,65.97,70.42,58.79,41.28,72.34,41.82,48.15,6.8,49,26,13.1,123.34086,47.7437202,95.3495375,93.4144899,0.8669008,99.7,5.121207439,31.9011,2,4,3,3.5,38.1,96.66507,95.6099472,98.5994873,75.74371338,1.056399941,137.9828493,28.94,37.94,74.18797561,16.16063,8.5,35.3657,14.7375,416.2374902,1.698024036,70.19,6,0,1,4,40,0.891564025,3,0.11,90.8,38,0.362102115,0.371044361,8,1,0.932270537,0.45,8.7,0.160999998,8,49,5,96.66507,98.599487,75.743713,1,100,2,3
Togo,TGO,46.66,45.11,59.4,35.46,69.69,17.41,36.27,57.08,59.3,50.26,68.66,59.38,32.16,49.08,47.24,13.38,15.3,102,450,84.7,681.84325,5.0703094,40.3267019,11.3458102,0.341151874,27.9,,95.3069,4,3,3,2.5,17.2,66.5473,90.43752289,68.30429077,35.795681,0.528940022,62.53490181,4.5,29,56.15034146,20.21439,4.6,22.1535,3.3734,995.3860916,0.120468399,44.23,4,1,0,1,30,0.656437694,4,0.16,30.5,29,0.756468715,0.035518113,4.8,4,0.444201401,0.09,3.9,0.37611,0,102,4,66.5473,68.304291,35.795681,0.52894002,62.534902,2,0
Tunisia,TUN,64.92,81.13,68.43,45.2,97.03,85.63,76.02,65.85,92.03,69.67,71.13,40.89,57.99,59.87,34.81,28.14,5,5,46,15.2,64.96261,75.2461564,90.4817361,90.441277,0.321891522,99.5,4.999254776,3.3844,1,3,3,2.5,18.8,81.77949,98.86934662,115.947731,74.85868835,1.048629999,115.6035799,43.8,38.69,75.1,17.21227,23.8,35.1117,2.26834,275.6868562,3.441952849,31.08,1,1,1,2,40,0.560183574,2,0.02,70.7,40,0.517013448,0.041935089,7.8,2,0.673619759,0.42,6.9,,0,8,6,81.77949,100,74.858688,1,100,2,0
Turkey,TUR,66.24,81.5,66.61,50.61,97.31,96.2,73.81,58.68,91.85,65.13,66.27,43.2,54.44,57.85,42.7,47.45,5,2,20,19.2,43.88609,98.532466,98.7591142,91.2073615,0.531604536,100,4.822082995,11.3724,2,3,4,3,12,95.01062,94.04067993,101.0313873,74.71086121,0.948239982,92.96497103,46.25,45.87,74.86243902,18.40422,29.3,38.687,6.34845,306.9802016,3.020969689,32.62,3,1,0,4,45,0.641476651,2,0.1,58.6,45,0.568556913,0.192935107,9,2,0.860951103,0.36,8.6,0.141045,10,8,5,95.01062,100,74.710861,0.94823998,92.964971,2,3
Uganda,UGA,49.49,47.91,61.54,39.02,66.67,38.86,36.76,49.33,61.79,45.49,66.97,71.91,39.5,52.02,41.66,22.91,25.7,172,360,66.1,696.73532,4.8351779,70.9640756,33.8743972,0.43600194,14.6,2.882339269,79.3007,4,3,3,3,28.9,78.38525,90.9165802,33.82424164,14.80084991,0.832650006,44.09069074,16.2,33.29,58.64797561,21.15726,4.6,5.75273,14.2154,588.6562487,0.000342989,91.31,6,1,0,4,25,0.819671089,3,0.23,45,26,0.572294345,0.121782626,8.3,2,0.818693049,0.1,5.5,0.311876941,1,172,4,78.38525,33.824242,14.80085,0.83265001,44.090691,2,1
